DATE;CHANNEL;PROGRAM;LEVEL1;LEVEL2;SECTOR;CATEGORY;ADVERTISER;PRODUCT;COPY;ADS_TYPE;SEGMENT;POSITIONS;START_TIME;END_TIME;DURATION;COST;REMARK
01/07/2017;ANTV;5D RATU ILMU HITAM;Movie;Movie:Horror/Mystery/Thriller;NON-COMMERCIAL ADVERTISEMENT;TV PROGRAMME PROMOTION;CAKRAWALA ANDALAS TELEVISI;ANTEVE - PP SERIES J001;JODOH PENGANTAR JENAZAH (30)  ANTEVE - PP SERIES J001;LOOSE SPOT;1;2;02:26:28;02:26:58;00:00:30;35000;
01/07/2017;ANTV;ANANDHI;Series;Series:Drama;BEVERAGES;GROWING UP MILK, FOLLOW ON MILK;FRIESCHE VLAG INDONESIA;BENDERA JELAJAH - GROWING UP MILK;3MCM/KEL/KOMODO/VOCHER (15/P);LOOSE SPOT;3;19;15:17:13;15:17:28;00:00:15;55000;
01/07/2017;ANTV;ANANDHI;Series;Series:Drama;BEVERAGES;HEALTH DRINK;SARI ENESIS INDAH;ADEM SARI CHING KU - REMEDY DRINK;LEMON/WNT/MNM/AIR TERJUN (15);LOOSE SPOT;3;31;15:20:28;15:20:43;00:00:15;55000;
01/07/2017;ANTV;ANANDHI;Series;Series:Drama;BEVERAGES;HEALTH DRINK;SARI ENESIS INDAH;COOLANT - REMEDY DRINK;ORG2/MNM/ANMS/TARI/BR (15);LOOSE SPOT;6;1;15:57:58;15:58:13;00:00:15;55000;
01/07/2017;ANTV;ANANDHI;Series;Series:Drama;BEVERAGES;RANGE OF MILK PRODUCTS;FRIESCHE VLAG INDONESIA;BENDERA - ALL MILK PRODUCTS;3MCM/WNT&ANAK LK/KUCING (15);LOOSE SPOT;3;11;15:15:13;15:15:28;00:00:15;55000;
01/07/2017;ANTV;ANANDHI;Series;Series:Drama;FOOD;INSTANT FOOD, INSTANT NOODLES;INDOFOOD INDONESIA;SARIMI - INSTANT NOODLE;RS TONGSENG A/WNT&PRIA/MKN(15);LOOSE SPOT;6;25;16:05:12;16:05:27;00:00:15;55000;
01/07/2017;ANTV;ANANDHI;Series;Series:Drama;FOOD;SNACKS, BISCUITS, COOKIES, CAKES;INDOFOOD INDONESIA;CHITATO - SNACK;ORG2/DO US A FLAVOR/FOTO(15/P);LOOSE SPOT;2;25;14:54:12;14:54:27;00:00:15;55000;
01/07/2017;ANTV;ANANDHI;Series;Series:Drama;FOOD;SNACKS, BISCUITS, COOKIES, CAKES;NABISCO/KRAFT(04/2011)/MONDELEZ(05/2014);OREO - BISCUIT;KEL&ORG2/BERBAGI/POLISI/BR(15);LOOSE SPOT;2;19;14:52:27;14:52:42;00:00:15;55000;
01/07/2017;ANTV;ANANDHI;Series;Series:Drama;NON-COMMERCIAL ADVERTISEMENT;TV PROGRAMME PROMOTION;CAKRAWALA ANDALAS TELEVISI;ANTEVE - PP ENTERTAINMENT B001;BOLLY VAGANZA (30)  ANTEVE - PP ENTERTAINMENT B001;LOOSE SPOT;7;3;16:27:18;16:27:48;00:00:30;55000;
01/07/2017;ANTV;ANANDHI;Series;Series:Drama;TOILETRIES & COSMETICS;FACIAL CARE PRODUCTS;UNILEVER;DOVE BEAUTY MOISTURE - CONDITIONG FACIAL;4KMS/WNT/CUCI MUKA/NUTRIUM(30T;LOOSE SPOT;5;22;15:44:53;15:45:23;00:00:30;55000;
