DATE;CHANNEL;PROGRAM;LEVEL1;LEVEL2;SECTOR;CATEGORY;ADVERTISER;PRODUCT;COPY;ADS_TYPE;SEGMENT;POSITIONS;START_TIME;END_TIME;DURATION;COST;REMARK;TITLE
2/20/2018;ANTV;5V WANITA HARIMAU SANTET II;Movie;Movie:Horror/Mystery/Thriller;SERVICES - CORPORATE & PUBLIC SERV ADV;PUBLIC SERVICE ADVERTISEMENT (PSA);PUBLIC SERVICE AD (PSA);PUBLIC SERVICE AD (PSA);INDONESIA RAYA (95);LOOSE SPOT;1;1;3:25:32;3:27:02;0:01:30;105000;;
2/20/2018;ANTV;SELAMAT PAGI NUSANTARA;News;News:Hard News;INDUSTRIAL PRODUCTS;BUILDING MATERIAL;NIPSEA PAINT;NIPPON ELASTEX - COATING PAINT;PAWANG E/PRIA&WNT/TERLABIL(15);LOOSE SPOT;1;1;4:20:45;4:21:00;0:00:15;15000;;
2/20/2018;ANTV;SELAMAT PAGI NUSANTARA;News;News:Hard News;SERVICES - RETAIL;FAST FOOD;PIZZA HUT;PIZZA HUT - FAST FOOD;SENS D/2PRIA&2WNT/PLHN/39RB(15;LOOSE SPOT;1;2;4:21:00;4:21:15;0:00:15;15000;;
2/20/2018;ANTV;SELAMAT PAGI NUSANTARA;News;News:Hard News;NON-COMMERCIAL ADVERTISEMENT;TV PROGRAMME PROMOTION;CAKRAWALA ANDALAS TELEVISI;ANTEVE - PP NEWS J001;JEJAK KRIMINAL (15)  ANTEVE - PP NEWS J001;LOOSE SPOT;1;3;4:21:14;4:21:29;0:00:15;15000;;
2/20/2018;ANTV;SELAMAT PAGI NUSANTARA;News;News:Hard News;FOOD;INSTANT FOOD, INSTANT NOODLES;JOIN AD;SEDAAP,TORABIKA CAPPUCCINO;VIVA YOUTH FESTIVAL (15/P);LOOSE SPOT;1;4;4:21:30;4:21:45;0:00:15;15000;;
2/20/2018;ANTV;SELAMAT PAGI NUSANTARA;News;News:Hard News;SERVICES - RETAIL;FAST FOOD;PIZZA HUT;PIZZA HUT - FAST FOOD;SENS D/PRIA&WNT/PLHN/39RB (15);LOOSE SPOT;1;5;4:21:44;4:21:59;0:00:15;15000;;
2/20/2018;ANTV;SELAMAT PAGI NUSANTARA;News;News:Hard News;INDUSTRIAL PRODUCTS;BUILDING MATERIAL;NIPSEA PAINT;NIPPON ELASTEX - COATING PAINT;PAWANG E/2PRIA/TERPARNO (15);LOOSE SPOT;1;6;4:22:00;4:22:15;0:00:15;15000;;
2/20/2018;ANTV;SELAMAT PAGI NUSANTARA;News;News:Hard News;n.a.;n.a.;n.a.;n.a.;n.a.;LOOSE SPOT;1;7;4:22:14;4:22:44;0:00:30;25000;;
2/20/2018;ANTV;SELAMAT PAGI NUSANTARA;News;News:Hard News;NON-COMMERCIAL ADVERTISEMENT;MEDIA SELF PROMOTION;CAKRAWALA ANDALAS TELEVISI;ANTEVE - SELF PROMO;INDONESIA RAYA (100)  ANTEVE - SELF PROMO;LOOSE SPOT;2;1;4:28:00;4:29:45;0:01:45;87500;;
2/20/2018;ANTV;MASHA AND THE BEAR(D03)(R);Children;Children:Series Anim/Puppe;NON-COMMERCIAL ADVERTISEMENT;TV PROGRAMME PROMOTION;CAKRAWALA ANDALAS TELEVISI;ANTEVE - PP CHILDREN M001;MUNKI & TRUNK (30)  ANTEVE - PP CHILDREN M001;LOOSE SPOT;1;1;4:53:36;4:54:06;0:00:30;40000;;
2/20/2018;ANTV;MASHA AND THE BEAR(D03)(R);Children;Children:Series Anim/Puppe;NON-COMMERCIAL ADVERTISEMENT;TV PROGRAMME PROMOTION;CAKRAWALA ANDALAS TELEVISI;ANTEVE - PP ENTERTAINMENT B001;BIKIN MEWEK (15)  ANTEVE - PP ENTERTAINMENT B001;LOOSE SPOT;1;2;4:54:06;4:54:21;0:00:15;24000;;
2/20/2018;ANTV;MASHA AND THE BEAR(D03)(R);Children;Children:Series Anim/Puppe;NON-COMMERCIAL ADVERTISEMENT;TV PROGRAMME PROMOTION;CAKRAWALA ANDALAS TELEVISI;ANTEVE - PP INFORMATION E001;EKSPEDISI MERAH (15)  ANTEVE - PP INFORMATION E001;LOOSE SPOT;1;3;4:54:21;4:54:36;0:00:15;24000;;
2/20/2018;ANTV;MASHA AND THE BEAR(D03)(R);Children;Children:Series Anim/Puppe;NON-COMMERCIAL ADVERTISEMENT;TV PROGRAMME PROMOTION;CAKRAWALA ANDALAS TELEVISI;ANTEVE - PP SERIES P001;PARDES (15)  ANTEVE - PP SERIES P001;LOOSE SPOT;1;4;4:54:36;4:54:51;0:00:15;24000;;
